Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
scf_000055_A_fumigatus_A1163	1044	0	0.00	0	0	0	0	0
scf_000054_A_fumigatus_A1163	1070	0	0.00	0	0	0	0	0
scf_000053_A_fumigatus_A1163	1136	0	0.00	0	0	0	0	0
scf_000052_A_fumigatus_A1163	1150	2	1.74	1	0	1	0	0
scf_000051_A_fumigatus_A1163	1161	0	0.00	0	0	0	0	0
scf_000050_A_fumigatus_A1163	1174	0	0.00	0	0	0	0	0
scf_000049_A_fumigatus_A1163	1175	0	0.00	0	0	0	0	0
scf_000048_A_fumigatus_A1163	1200	8	6.67	4	0	4	0	0
scf_000047_A_fumigatus_A1163	1204	2	1.66	1	0	0	1	0.00
scf_000046_A_fumigatus_A1163	1236	0	0.00	0	0	0	0	0
scf_000045_A_fumigatus_A1163	1247	0	0.00	0	0	0	0	0
scf_000044_A_fumigatus_A1163	1294	0	0.00	0	0	0	0	0
scf_000043_A_fumigatus_A1163	1307	22	16.83	11	0	10	1	10.00
scf_000042_A_fumigatus_A1163	1326	0	0.00	0	0	0	0	0
scf_000041_A_fumigatus_A1163	1342	0	0.00	0	0	0	0	0
scf_000040_A_fumigatus_A1163	1385	0	0.00	0	0	0	0	0
scf_000039_A_fumigatus_A1163	1493	4	2.68	2	0	0	2	0.00
scf_000038_A_fumigatus_A1163	1512	0	0.00	0	0	0	0	0
scf_000037_A_fumigatus_A1163	1526	0	0.00	0	0	0	0	0
scf_000036_A_fumigatus_A1163	1621	0	0.00	0	0	0	0	0
scf_000035_A_fumigatus_A1163	1644	0	0.00	0	0	0	0	0
scf_000034_A_fumigatus_A1163	1774	0	0.00	0	0	0	0	0
scf_000033_A_fumigatus_A1163	1822	0	0.00	0	0	0	0	0
scf_000032_A_fumigatus_A1163	2593	0	0.00	0	0	0	0	0
scf_000031_A_fumigatus_A1163	2795	10	3.58	5	0	5	0	0
scf_000030_A_fumigatus_A1163	3003	10	3.33	5	0	5	0	0
scf_000029_A_fumigatus_A1163	3157	0	0.00	0	0	0	0	0
scf_000028_A_fumigatus_A1163	3180	0	0.00	0	0	0	0	0
scf_000027_A_fumigatus_A1163	3415	38	11.13	19	0	18	1	18.00
scf_000026_A_fumigatus_A1163	3426	20	5.84	10	0	9	1	9.00
scf_000025_A_fumigatus_A1163	3591	0	0.00	0	0	0	0	0
scf_000024_A_fumigatus_A1163	3954	0	0.00	0	0	0	0	0
scf_000023_A_fumigatus_A1163	3974	0	0.00	0	0	0	0	0
scf_000022_A_fumigatus_A1163	4110	4	0.97	2	0	2	0	0
scf_000021_A_fumigatus_A1163	4622	14	3.03	7	0	5	2	2.50
scf_000020_A_fumigatus_A1163	5007	0	0.00	0	0	0	0	0
scf_000019_A_fumigatus_A1163	5988	28	4.68	14	0	14	0	0
scf_000018_A_fumigatus_A1163	8530	32	3.75	16	0	16	0	0
scf_000017_A_fumigatus_A1163	10276	0	0.00	0	0	0	0	0
scf_000016_A_fumigatus_A1163	11690	0	0.00	0	0	0	0	0
scf_000015_A_fumigatus_A1163	15381	2	0.13	1	0	1	0	0
scf_000014_A_fumigatus_A1163	15960	170	10.65	85	0	61	24	2.54
scf_000013_A_fumigatus_A1163	17043	92	5.40	46	0	44	2	22.00
scf_000012_A_fumigatus_A1163	28481	70	2.46	35	0	19	16	1.19
scf_000011_A_fumigatus_A1163	482145	126	0.26	63	0	55	8	6.88
scf_000010_A_fumigatus_A1163	656735	14	0.02	7	0	7	0	0
scf_000009_A_fumigatus_A1163	1571256	154	0.10	77	0	58	19	3.05
scf_000008_A_fumigatus_A1163	1844026	130	0.07	65	0	54	11	4.91
scf_000007_A_fumigatus_A1163	1927435	548	0.28	274	0	177	97	1.82
scf_000006_A_fumigatus_A1163	2209696	86	0.04	43	0	34	9	3.78
scf_000005_A_fumigatus_A1163	2613036	166	0.06	83	0	66	17	3.88
scf_000004_A_fumigatus_A1163	3791214	436	0.12	218	0	187	31	6.03
scf_000003_A_fumigatus_A1163	4263309	230	0.05	115	0	104	11	9.45
scf_000002_A_fumigatus_A1163	4759548	166	0.03	83	0	65	18	3.61
scf_000001_A_fumigatus_A1163	4896001	102	0.02	51	0	33	18	1.83
Totals	29205420	2686	0.09	1343	0	1054	289	3.65
